Date,0,11,12-PA-SCH
01.03.2012,1,10,12-PA-SCH
01.03.2012,2,2,12-PA-SCH
01.03.2012,3,2,12-PA-SCH
01.03.2012,4,0,12-PA-SCH
01.03.2012,5,6,12-PA-SCH
01.03.2012,6,20,12-PA-SCH
01.03.2012,7,82,12-PA-SCH
01.03.2012,8,108,12-PA-SCH
01.03.2012,9,81,12-PA-SCH
01.03.2012,10,37,12-PA-SCH
01.03.2012,11,31,12-PA-SCH
01.03.2012,12,38,12-PA-SCH
01.03.2012,13,38,12-PA-SCH
01.03.2012,14,66,12-PA-SCH
01.03.2012,15,87,12-PA-SCH
01.03.2012,16,72,12-PA-SCH
01.03.2012,17,108,12-PA-SCH
01.03.2012,18,79,12-PA-SCH
01.03.2012,19,71,12-PA-SCH
01.03.2012,20,48,12-PA-SCH
01.03.2012,21,31,12-PA-SCH
01.03.2012,22,37,12-PA-SCH
01.03.2012,23,21,12-PA-SCH
01.03.2012,0,10,12-PA-SCH
02.03.2012,1,8,12-PA-SCH
02.03.2012,2,1,12-PA-SCH
02.03.2012,3,0,12-PA-SCH
02.03.2012,4,4,12-PA-SCH
02.03.2012,5,4,12-PA-SCH
02.03.2012,6,22,12-PA-SCH
02.03.2012,7,84,12-PA-SCH
02.03.2012,8,123,12-PA-SCH
02.03.2012,9,85,12-PA-SCH
02.03.2012,10,58,12-PA-SCH
02.03.2012,11,60,12-PA-SCH
02.03.2012,12,55,12-PA-SCH
02.03.2012,13,74,12-PA-SCH
02.03.2012,14,59,12-PA-SCH
02.03.2012,15,84,12-PA-SCH
02.03.2012,16,87,12-PA-SCH
02.03.2012,17,94,12-PA-SCH
02.03.2012,18,78,12-PA-SCH
02.03.2012,19,69,12-PA-SCH
02.03.2012,20,44,12-PA-SCH
02.03.2012,21,18,12-PA-SCH
02.03.2012,22,26,12-PA-SCH
02.03.2012,23,17,12-PA-SCH
02.03.2012,0,13,12-PA-SCH
03.03.2012,1,6,12-PA-SCH
03.03.2012,2,5,12-PA-SCH
03.03.2012,3,4,12-PA-SCH
03.03.2012,4,4,12-PA-SCH
03.03.2012,5,5,12-PA-SCH
03.03.2012,6,4,12-PA-SCH
03.03.2012,7,14,12-PA-SCH
03.03.2012,8,15,12-PA-SCH
03.03.2012,9,46,12-PA-SCH
03.03.2012,10,62,12-PA-SCH
03.03.2012,11,86,12-PA-SCH
03.03.2012,12,110,12-PA-SCH
03.03.2012,13,125,12-PA-SCH
03.03.2012,14,99,12-PA-SCH
03.03.2012,15,145,12-PA-SCH
03.03.2012,16,136,12-PA-SCH
03.03.2012,17,130,12-PA-SCH
03.03.2012,18,70,12-PA-SCH
03.03.2012,19,58,12-PA-SCH
03.03.2012,20,50,12-PA-SCH
03.03.2012,21,26,12-PA-SCH
03.03.2012,22,19,12-PA-SCH
03.03.2012,23,15,12-PA-SCH
03.03.2012,0,6,12-PA-SCH
04.03.2012,1,16,12-PA-SCH
04.03.2012,2,12,12-PA-SCH
04.03.2012,3,10,12-PA-SCH
04.03.2012,4,6,12-PA-SCH
04.03.2012,5,3,12-PA-SCH
04.03.2012,6,3,12-PA-SCH
04.03.2012,7,7,12-PA-SCH
04.03.2012,8,8,12-PA-SCH
04.03.2012,9,35,12-PA-SCH
04.03.2012,10,56,12-PA-SCH
04.03.2012,11,67,12-PA-SCH
04.03.2012,12,116,12-PA-SCH
04.03.2012,13,129,12-PA-SCH
04.03.2012,14,162,12-PA-SCH
04.03.2012,15,184,12-PA-SCH
04.03.2012,16,182,12-PA-SCH
04.03.2012,17,154,12-PA-SCH
04.03.2012,18,62,12-PA-SCH
04.03.2012,19,49,12-PA-SCH
04.03.2012,20,21,12-PA-SCH
04.03.2012,21,20,12-PA-SCH
04.03.2012,22,12,12-PA-SCH
04.03.2012,23,7,12-PA-SCH
04.03.2012,0,3,12-PA-SCH
05.03.2012,1,6,12-PA-SCH
05.03.2012,2,0,12-PA-SCH
05.03.2012,3,1,12-PA-SCH
05.03.2012,4,0,12-PA-SCH
05.03.2012,5,7,12-PA-SCH
05.03.2012,6,14,12-PA-SCH
