Year,Month,DayOfWeek,Hour,Total
2019,1,5,15,85.5
2019,1,5,16,88.25
2019,1,5,17,104.75
2019,1,5,18,107.25
2019,1,5,19,67.0
2019,1,5,20,38.75
2019,1,5,21,26.0
2019,1,5,22,23.25
2019,1,5,23,20.0
2019,1,6,0,12.75
2019,1,6,1,8.5
2019,1,6,2,5.0
2019,1,6,3,3.75
2019,1,6,4,3.75
2019,1,6,5,8.0
2019,1,6,6,5.0
2019,1,6,7,9.25
2019,1,6,8,18.75
2019,1,6,9,24.0
2019,1,6,10,25.0
2019,1,6,11,35.5
2019,1,6,12,49.0
2019,1,6,13,42.75
2019,1,6,14,58.25
2019,1,6,15,49.75
2019,1,6,16,45.5
2019,1,6,17,44.5
2019,1,6,18,42.0
2019,1,6,19,38.25
2019,1,6,20,28.0
2019,1,6,21,14.75
2019,1,6,22,13.75
2019,1,6,23,15.0
2019,1,7,0,15.25
2019,1,7,1,10.25
2019,1,7,2,6.25
2019,1,7,3,3.75
2019,1,7,4,2.25
2019,1,7,5,3.25
2019,1,7,6,6.25
2019,1,7,7,6.5
2019,1,7,8,11.0
2019,1,7,9,19.25
2019,1,7,10,37.25
2019,1,7,11,38.5
2019,1,7,12,47.25
2019,1,7,13,52.75
2019,1,7,14,49.5
2019,1,7,15,49.75
2019,1,7,16,52.25
2019,1,7,17,41.25
2019,1,7,18,36.0
2019,1,7,19,33.5
2019,1,7,20,19.25
2019,1,7,21,20.5
2019,1,7,22,14.5
2019,1,7,23,7.5
2019,2,1,0,4.0
2019,2,1,1,2.25
2019,2,1,2,2.0
2019,2,1,3,0.75
2019,2,1,4,4.25
2019,2,1,5,13.5
2019,2,1,6,52.25
2019,2,1,7,185.75
2019,2,1,8,312.0
2019,2,1,9,162.25
2019,2,1,10,87.75
2019,2,1,11,79.0
2019,2,1,12,86.75
2019,2,1,13,102.5
2019,2,1,14,133.75
2019,2,1,15,158.0
2019,2,1,16,177.5
2019,2,1,17,251.25
2019,2,1,18,281.5
2019,2,1,19,153.75
2019,2,1,20,90.25
2019,2,1,21,59.0
2019,2,1,22,52.5
2019,2,1,23,32.0
2019,2,2,0,8.0
2019,2,2,1,2.75
2019,2,2,2,2.25
2019,2,2,3,1.0
2019,2,2,4,2.75
2019,2,2,5,16.5
2019,2,2,6,66.0
2019,2,2,7,214.25
2019,2,2,8,366.5
2019,2,2,9,195.25
2019,2,2,10,92.75
2019,2,2,11,95.25
