Month,Deutzer Brücke,Hohenzollernbrücke,Neumarkt,Zülpicher Straße
Januar,46319,24610,59344,78727
Februar,47764,29590,62228,91075
März,68778,44312,84760,107262
April,78619,55086,95298,146057
Mai,79369,52725,102051,159319
Juni,85576,51538,131255,160123
Juli,102145,59627,141239,176262
August,143238,86048,154713,218211
September,114750,82748,138138,185618
Oktober,76941,50758,109360,127759
November,56433,32022,88182,105815
Dezember,24321,13904,56270,59034
Jahressumme,924253,582968,1222838,1615262
