Month,Bonner Straße,Deutzer Brücke,Hohenzollernbrücke,Neumarkt,Zülpicher Straße
Januar,38984,45837,35104,60199,77383
Februar,32816,49308,37100,56027,60943
März,44025,67762,46182,63964,78326
April,63362,104973,80577,121508,143859
Mai,64240,103331,102542,116527,131117
Juni,75785,130982,99403,167361,173915
Juli,89743,182418,107545,202470,181126
August,77968,157671,84111,175852,135852
September,72498,136521,76866,159347,130345
Oktober,65584,116793,64046,143271,139247
November,51944,89898,40171,105580,111446
Dezember,48079,88805,43126,107249,93777
Jahressumme,725028,1274299,816773,1479355,1457336
