Month,Bonner Straße,Deutzer Brücke,Hohenzollernbrücke,Neumarkt,Zülpicher Straße
Januar,,61602,45368,70880,99340
Februar,,50568,36475,56751,73927
März,,126723,81138,131642,141170
April,49907,112022,74270,114954,140677
Mai,61307,146698,98303,163379,178093
Juni,56745,125334,81558,148135,168434
Juli,61682,140243,93797,148578,163388
August,82386,159703,102058,165519,163617
September,74809,134260,87396,140891,149239
Oktober,60879,112726,77836,106456,151060
November,54086,83081,62393,98809,115197
Dezember,38270,54802,43398,65531,74147
Jahressumme,540071,1307762,883990,1411525,1618289
