Time,Gesamt,StadteinwÃ¤rts,StadtauswÃ¤rts
2023-06-14T00:00:00,1759,876,883
2023-06-15T00:00:00,1662,843,819
2023-06-16T00:00:00,1525,790,735
2023-06-17T00:00:00,1271,629,642
2023-06-18T00:00:00,820,415,405
2023-06-19T00:00:00,1503,757,746
2023-06-20T00:00:00,1423,721,702
2023-06-21T00:00:00,1644,834,810
2023-06-22T00:00:00,753,380,373
2023-06-23T00:00:00,1354,650,704
2023-06-24T00:00:00,1292,672,620
2023-06-25T00:00:00,742,373,369
2023-06-26T00:00:00,1492,771,721
2023-06-27T00:00:00,1492,733,759
2023-06-28T00:00:00,1299,662,637
2023-06-29T00:00:00,1212,605,607
2023-06-30T00:00:00,1225,627,598
2023-07-01T00:00:00,634,288,346
2023-07-02T00:00:00,760,400,360
2023-07-03T00:00:00,1344,639,705
2023-07-04T00:00:00,1357,668,689
2023-07-05T00:00:00,893,434,459
2023-07-06T00:00:00,1527,789,738
2023-07-07T00:00:00,1557,796,761
2023-07-08T00:00:00,1094,582,512
2023-07-09T00:00:00,565,273,292
2023-07-10T00:00:00,1364,683,681
2023-07-11T00:00:00,1387,694,693
2023-07-12T00:00:00,1357,684,673
2023-07-13T00:00:00,1275,625,650
2023-07-14T00:00:00,1349,681,668
2023-07-15T00:00:00,732,325,407
2023-07-16T00:00:00,829,400,429
2023-07-17T00:00:00,0,0,0
2023-07-18T00:00:00,1536,781,755
2023-07-19T00:00:00,1164,583,581
2023-07-20T00:00:00,1307,639,668
2023-07-21T00:00:00,1155,583,572
2023-07-22T00:00:00,1105,549,556
2023-07-23T00:00:00,344,150,194
2023-07-24T00:00:00,746,364,382
2023-07-25T00:00:00,1101,588,513
2023-07-26T00:00:00,948,484,464
2023-07-27T00:00:00,422,209,213
2023-07-28T00:00:00,962,481,481
2023-07-29T00:00:00,779,377,402
2023-07-30T00:00:00,592,279,313
2023-07-31T00:00:00,677,340,337
2023-08-01T00:00:00,876,431,445
2023-08-02T00:00:00,704,366,338
2023-08-03T00:00:00,648,325,323
2023-08-04T00:00:00,907,455,452
2023-08-05T00:00:00,804,402,402
2023-08-06T00:00:00,198,99,99
2023-08-07T00:00:00,905,470,435
2023-08-08T00:00:00,1056,532,524
2023-08-09T00:00:00,1334,696,638
2023-08-10T00:00:00,1777,927,850
2023-08-11T00:00:00,1682,889,793
2023-08-12T00:00:00,652,324,328
2023-08-13T00:00:00,1054,542,512
2023-08-14T00:00:00,1576,775,801
2023-08-15T00:00:00,1299,652,647
2023-08-16T00:00:00,1353,660,693
2023-08-17T00:00:00,1295,670,625
2023-08-19T00:00:00,1060,531,529
2023-08-21T00:00:00,1532,775,757
2023-08-22T00:00:00,1639,829,810
2023-08-23T00:00:00,1679,863,816
2023-08-24T00:00:00,1291,659,632
2023-08-25T00:00:00,904,462,442
2023-08-26T00:00:00,1245,646,599
2023-08-27T00:00:00,646,314,332
2023-08-28T00:00:00,1324,694,630
2023-08-29T00:00:00,1378,697,681
2023-08-30T00:00:00,925,483,442
2023-08-31T00:00:00,1144,595,549
2023-09-01T00:00:00,712,361,351
2023-09-02T00:00:00,935,460,475
2023-09-04T00:00:00,1485,780,705
2023-09-05T00:00:00,1677,868,809
2023-09-06T00:00:00,1626,808,818
2023-09-07T00:00:00,1570,818,752
2023-09-08T00:00:00,1376,691,685
2023-09-09T00:00:00,1001,502,499
2023-09-10T00:00:00,750,395,355
2023-09-11T00:00:00,1535,785,750
2023-09-12T00:00:00,942,462,480
2023-09-13T00:00:00,1021,516,505
2023-09-14T00:00:00,1449,732,717
2023-09-15T00:00:00,1428,748,680
2023-09-16T00:00:00,1124,554,570
2023-09-17T00:00:00,884,424,460
2023-09-18T00:00:00,1277,634,643
2023-09-19T00:00:00,1229,641,588
2023-09-20T00:00:00,1207,524,683
2023-09-21T00:00:00,561,0,561
2023-09-22T00:00:00,545,0,545
2023-09-23T00:00:00,421,0,421
2023-09-24T00:00:00,346,0,346
2023-09-25T00:00:00,660,0,660
2023-09-26T00:00:00,670,0,670
2023-09-27T00:00:00,667,0,667
2023-09-28T00:00:00,648,0,648
2023-09-29T00:00:00,496,0,496
2023-09-30T00:00:00,425,0,425
2023-10-02T00:00:00,585,0,585
2023-10-03T00:00:00,110,0,110
2023-10-04T00:00:00,497,0,497
2023-10-06T00:00:00,489,0,489
2023-10-07T00:00:00,375,0,375
2023-10-08T00:00:00,195,0,195
2023-10-09T00:00:00,496,0,496
2023-10-10T00:00:00,617,0,617
2023-10-11T00:00:00,569,0,569
2023-10-12T00:00:00,286,0,286
2023-10-13T00:00:00,395,0,395
2023-10-14T00:00:00,372,0,372
2023-10-15T00:00:00,164,0,164
2023-10-16T00:00:00,560,0,560
2023-10-17T00:00:00,0,0,0
2023-10-18T00:00:00,0,0,0
2023-10-19T00:00:00,0,0,0
2023-10-20T00:00:00,0,0,0
2023-10-21T00:00:00,0,0,0
2023-10-22T00:00:00,0,0,0
