Time,Gesamt,Stadteinwärts,Stadtauswärts,
2019-06-08 00:00:00,569,254,315,
2019-06-09 00:00:00,744,395,349,
2019-06-10 00:00:00,584,299,285,
2019-06-11 00:00:00,786,399,387,
2019-06-12 00:00:00,829,433,396,
2019-06-13 00:00:00,1151,594,557,
2019-06-14 00:00:00,1200,613,587,
2019-06-15 00:00:00,886,456,430,
2019-06-16 00:00:00,696,346,350,
2019-06-17 00:00:00,1311,656,655,
2019-06-18 00:00:00,1243,634,609,
2019-06-19 00:00:00,1095,549,546,
2019-06-20 00:00:00,545,277,268,
2019-06-21 00:00:00,1068,550,518,
2019-06-22 00:00:00,950,494,456,
2019-06-23 00:00:00,654,351,303,
2019-06-24 00:00:00,1213,617,596,
2019-06-25 00:00:00,1091,544,547,
2019-06-26 00:00:00,1126,587,539,
2019-06-27 00:00:00,1257,639,618,
2019-06-28 00:00:00,1290,642,648,
2019-06-29 00:00:00,924,455,469,
2019-06-30 00:00:00,677,313,364,
2019-07-01 00:00:00,1249,622,627,
2019-07-02 00:00:00,1361,679,682,
2019-07-03 00:00:00,1315,650,665,
2019-07-04 00:00:00,1420,686,734,
2019-07-05 00:00:00,1333,661,672,
2019-07-06 00:00:00,974,488,486,
2019-07-07 00:00:00,686,344,342,
2019-07-08 00:00:00,1065,518,547,
2019-07-09 00:00:00,1195,624,571,
2019-07-10 00:00:00,1183,615,568,
2019-07-11 00:00:00,829,394,435,
2019-07-12 00:00:00,894,402,492,
2019-07-13 00:00:00,778,386,392,
2019-07-14 00:00:00,602,278,324,
2019-07-15 00:00:00,1020,482,538,
2019-07-16 00:00:00,1104,553,551,
2019-07-17 00:00:00,1066,527,539,
2019-07-18 00:00:00,1053,548,505,
2019-07-19 00:00:00,1065,556,509,
2019-07-20 00:00:00,653,309,344,
2019-07-21 00:00:00,611,315,296,
2019-07-22 00:00:00,1187,608,579,
2019-07-23 00:00:00,1069,549,520,
2019-07-24 00:00:00,943,496,447,
2019-07-25 00:00:00,803,416,387,
2019-07-26 00:00:00,823,428,395,
2019-07-27 00:00:00,616,303,313,
2019-07-28 00:00:00,493,250,243,
2019-07-29 00:00:00,1100,582,518,
2019-07-30 00:00:00,1106,548,558,
2019-07-31 00:00:00,985,511,474,
2019-08-01 00:00:00,1085,562,523,
2019-08-02 00:00:00,867,435,432,
2019-08-03 00:00:00,669,324,345,
2019-08-04 00:00:00,964,544,420,
2019-08-05 00:00:00,999,504,495,
2019-08-06 00:00:00,982,499,483,
2019-08-07 00:00:00,1005,516,489,
2019-08-08 00:00:00,1169,609,560,
2019-08-09 00:00:00,785,397,388,
2019-08-10 00:00:00,762,395,367,
2019-08-11 00:00:00,801,435,366,
2019-08-12 00:00:00,855,430,425,
2019-08-13 00:00:00,716,339,377,
2019-08-14 00:00:00,1088,593,495,
2019-08-15 00:00:00,608,314,294,
2019-08-16 00:00:00,960,476,484,
2019-08-17 00:00:00,491,229,262,
2019-08-18 00:00:00,202,94,108,
2019-08-19 00:00:00,1092,554,538,
2019-08-20 00:00:00,1144,575,569,
2019-08-21 00:00:00,1203,598,605,
2019-08-22 00:00:00,1266,635,631,
2019-08-23 00:00:00,1213,608,605,
2019-08-24 00:00:00,930,466,464,
2019-08-25 00:00:00,772,412,360,
2019-08-26 00:00:00,1216,616,600,
2019-08-27 00:00:00,1106,549,557,
2019-08-28 00:00:00,1209,603,606,
2019-08-29 00:00:00,991,478,513,
2019-08-30 00:00:00,1251,627,624,
2019-08-31 00:00:00,940,464,476,
2019-09-01 00:00:00,501,245,256,
2019-09-02 00:00:00,1280,657,623,
2019-09-03 00:00:00,1232,603,629,
2019-09-04 00:00:00,1057,540,517,
2019-09-05 00:00:00,1004,500,504,
2019-09-06 00:00:00,1223,616,607,
2019-09-07 00:00:00,775,391,384,
2019-09-08 00:00:00,570,299,271,
2019-09-09 00:00:00,1052,542,510,
2019-09-10 00:00:00,1152,587,565,
2019-09-11 00:00:00,981,501,480,
2019-09-12 00:00:00,1041,523,518,
2019-09-13 00:00:00,826,416,410,
2019-09-14 00:00:00,930,479,451,
2019-09-15 00:00:00,964,452,512,
2019-09-16 00:00:00,690,354,336,
2019-09-17 00:00:00,978,505,473,
2019-09-18 00:00:00,995,482,513,
2019-09-19 00:00:00,1093,540,553,
2019-09-20 00:00:00,1215,598,617,
2019-09-21 00:00:00,1014,505,509,
2019-09-22 00:00:00,723,355,368,
2019-09-23 00:00:00,721,359,362,
2019-09-24 00:00:00,992,509,483,
2019-09-25 00:00:00,852,417,435,
2019-09-26 00:00:00,741,358,383,
2019-09-27 00:00:00,963,481,482,
2019-09-28 00:00:00,445,217,228,
2019-09-29 00:00:00,170,70,100,
2019-09-30 00:00:00,647,323,324,
